EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,DTO,SECC,TIPO_SECCION,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,TCE_seccional,Atipicidad
17,MORELOS,2,ATLATLAHUCAN,5,20,M,6.214608098422191,340.01124045879953,0.9797227168243152,0.14416475972540047,0.042736733893950316,0.051375109301735215,0.9832894014009904,3.696381674341792,0.8108731033614948,0.05947808220285375,0.3759803720429021,0.217552138200074,0.2356516534529853,G0,Tipica
18,NAYARIT,6,HUAJICORI,1,203,R,6.6669567924292075,2.2908305572314176,0.9336230483995164,0.2,0.06261388978273927,0.06878280185460463,0.93479482460899,9.936971238444075,3.69636849847105,6.1061908409733965,-0.3616642362184388,-3.865854239462424,-0.32626103605401624,G0,Atípica en ICE principal
19,NUEVO LEON,18,GARCIA,7,2547,R,6.982862751468942,1494.7344961558874,0.9573882159808969,1.0263157894736843,0.22059180236256226,0.23590955030135435,0.997564603149436,26.99655495251441,-1.1952680787992918,2.0690172977204617,2.0522635680578096,10.927639764610342,7.989756604107393,G0,Atípica en ICE principal
20,OAXACA,64,NEJAPA DE MADERO,5,467,R,5.5093883366279774,2.2575220268343505,0.9486215728433012,0.5060975609756098,0.15350496546486322,0.13648666883268784,0.7105975373920039,17.37861774815544,4.031589545691193,3.733432166033169,0.7468756258018932,4.664015687986407,1.9857474778743585,G0,Atípica en ICE principal
21,PUEBLA,115,PUEBLA,11,1492,U,5.204006687076795,50.68829269194621,0.9800275471649238,0.1973684210526316,0.07097833370013913,0.08024059907808027,0.9542350574047498,6.095187103349806,2.145697506155713,-0.557268063474341,0.7882574084071068,2.026038903193225,0.03459865740080862,G0,Atípica en ICE principal
22,QUERETARO,10,EL MARQUES,5,205,M,9.32723412344768,2190.3140681131194,0.9743967449849412,0.2413031474323578,0.06864090769733053,0.08122067952400999,0.9980361949439835,6.654312266094173,-1.9601300443481604,2.3487661984152366,-1.4108946656144887,1.8853214516778043,0.7297152327434674,G0,Atípica en ICE principal
23,QUINTANA ROO,9,TULUM,1,948,U,6.9930151229329605,271.6987714193222,0.9658536599229895,0.5316455696202531,0.18777262096926425,0.18118930260502147,0.9552905612743324,18.037201116467767,0.6969812683639918,2.420712281760665,0.8221835902037835,8.992141307062866,0.8324916220843896,G0,Atípica en ICE principal
24,SAN LUIS POTOSI,33,SANTA MARIA DEL RIO,2,1199,R,4.532599493153255,2.3174682282581607,0.9525704857731238,0.2916666666666667,0.07653567532557562,0.08941431623291772,0.9842641483661844,10.388060748800328,4.158816895518582,2.142682652242915,1.1670928164925465,-0.9603361781179812,0.9296127528489048,G0,Atípica en ICE principal
25,SINALOA,17,SINALOA,3,3427,R,4.7791234931115305,0.37775259427149305,0.9696861328949612,0.9193548387096774,0.321600082145778,0.25325181343935343,0.8790674012440635,30.77896716807688,3.684272487465378,-0.014807505301739719,1.386619364283023,18.318521234923345,2.1721070760583583,G0,Atípica en ICE principal
26,SONORA,8,BACANORA,4,50,R,3.7135720667043084,0.39761431411530823,0.9496114972366576,0.5185185185185185,0.13413738405988154,0.14830847555919288,0.9464632768581162,16.952664293604688,5.030319804089255,1.7204807790183534,1.7722484674819976,2.71921157043052,2.526794650205572,G0,Atípica en ICE principal
27,TABASCO,8,HUIMANGUILLO,2,715,R,5.0369526024136295,0.9875403192192019,0.9627759777167636,0.18461538461538465,0.054514649306553725,0.057163446599033774,0.8967889608359728,6.787654092369155,3.99169275047602,1.206822880381372,0.02224268660263804,-1.2730729011522837,0.2675871618984258,G0,Atípica en ICE principal
28,TAMAULIPAS,32,REYNOSA,9,1772,U,7.585788821732034,4708.0059011818885,0.9752928481582122,0.5235885537509667,0.16637854353488274,0.17040520789829774,0.9833846535622208,15.681792748818465,-1.0847029333478655,1.5105198937987865,0.8881478478288135,8.845768307227187,1.721131185109137,G0,Atípica en ICE principal
29,TLAXCALA,34,TLAXCO,1,489,R,4.584967478670572,82.05909246232565,0.9769041206428478,0.1264367816091954,0.04875087475295977,0.0557929250922141,0.8669194010014593,4.0327359780262615,2.889474498181272,-0.08795968172888048,1.3574806938110082,0.24526196483337398,-0.12196172784152405,G0,Tipica
30,VERACRUZ,78,ILAMATLAN,2,1698,R,4.653960350157523,23.271276595744695,0.961991453983352,0.3815789473684211,0.08359798879949025,0.07438390475941341,0.9488415326612648,10.865674825496457,2.871577572858002,0.9987211358701884,1.623475140040784,0.9656822782670172,2.48483628734116,G0,Atípica en ICE principal
31,YUCATAN,50,MERIDA,3,1110,U,7.906178840394815,656.9980899203947,0.9662440390955681,0.427669647553919,0.1119637985980662,0.12875218145618195,0.9958116382700094,12.368867819813964,-0.6060916756688268,2.3915083574367797,-0.0639345066574183,3.887502570501742,2.0864964637814043,G0,Atípica en ICE principal
32,ZACATECAS,49,VALPARAISO,2,1542,M,4.709530201312334,530.2747164126649,0.9661494511280436,0.4230769230769231,0.11353319636240013,0.11848093864582275,0.9512124394808992,12.43702395799859,1.9835561245482387,1.060910211612942,2.5939313347186905,3.756953636754752,2.1002650254226984,G0,Atípica en ICE principal
