EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),TCE_municipal,Atipicidad
5,COAHUILA,7,CUATROCIENEGAS,9,9461.0,1710.1749551747077,0.9804224846560996,0.03534690304224119,0.011924975973858876,0.01458234461741158,0.9715779372382378,-0.8375150142955488,-0.12404948826078546,-0.22749491931006235,G1,Tipica
5,COAHUILA,4,ARTEAGA,19,18337.0,481.79762218364607,0.9844603069177356,0.1097191963205035,0.02954198601982425,0.03492298471012864,0.9898686963265704,2.160153545012036,0.5206711314690402,-0.6956303489893909,G0,Tipica
5,COAHUILA,28,SABINAS,3,49398.0,1882.7726974136733,0.9864163421649824,0.07980851203357597,0.024724970392950074,0.03003740277990064,0.9949059789114142,1.1615304854323671,0.15833560086563978,-0.4234511711553918,G0,Tipica
5,COAHUILA,15,JUAREZ,3,1334.0,529.6087685419757,0.9771678575487942,0.056215360253364995,0.02128504476086822,0.02540022051858261,0.8810836034854134,0.7023519780892947,-1.0231279221611362,0.10426042417062281,G0,Tipica
5,COAHUILA,32,SAN JUAN DE SABINAS,2,33084.0,2583.4595227536647,0.9796859646835392,0.10549002572927456,0.029060968799776238,0.0347780555302849,0.9940161443693124,2.405755772424177,-0.2556193365493836,0.03355012732672184,G0,Tipica
5,COAHUILA,22,NAVA,2,22484.0,1271.0324529734232,0.9861050787349672,0.07122778598313402,0.022204381386264876,0.02712281786760661,0.9911141649966752,0.7421520086914875,-0.0747041482201113,-0.606883883319326,G0,Tipica
5,COAHUILA,29,SACRAMENTO,0,1901.0,965.434891108779,0.9719186565839844,0.08566533409480298,0.02577270510416173,0.03104753752184277,0.8968061923182945,2.0010923581152316,-1.335050844169393,0.4394594137141376,G0,Tipica
5,COAHUILA,3,ALLENDE,2,18025.0,1684.495452985352,0.980263223943794,0.06035649155832696,0.017682234057358703,0.021562002370189376,0.9820428026396384,0.2956642517460279,-0.3760789735011211,-0.20213758558782763,G0,Tipica
5,COAHUILA,10,FRONTERA,0,59692.0,3190.8976942032455,0.9887607755009225,0.04453427126533326,0.013753264408230229,0.016713662301060236,0.993698924707391,-0.8540072619989844,0.40220580744953055,-0.42136435483740975,G1,Tipica
5,COAHUILA,37,VILLA UNION,3,5134.0,1059.2634575533605,0.986068823619336,0.06492428956647997,0.018927423111591082,0.02271374467496581,0.974841464898878,0.17944829852896726,-0.11374266153442962,-0.7280604594096461,G1,Tipica
5,COAHUILA,21,NADADORES,3,4934.0,730.3693074285846,0.981523981882365,0.03720832457431154,0.011084597281271327,0.013483763772775496,0.9621005976656676,-0.986496114288622,-0.4103526636716941,-0.48276795311064186,G1,Tipica
5,COAHUILA,8,ESCOBEDO,1,2381.0,568.3380669369919,0.983285706624558,0.07737556561085973,0.021077260074152,0.02476397796958944,0.9300910223079192,0.679660085910551,-0.4933383999903693,-0.5532087194559547,G0,Tipica
5,COAHUILA,19,MORELOS,1,6784.0,993.7340266474428,0.9826102131088424,0.06449082064961556,0.0197049342066885,0.0242064721696518,0.9932752648450609,0.5221993277268488,-0.3956937249658683,-0.502361713529554,G0,Tipica
5,COAHUILA,20,MUZQUIZ,3,53375.0,2170.5134485116355,0.9803539532632969,0.06445565682149054,0.019381817993820143,0.023622823005275344,0.9820807143972874,0.558530841080784,-0.14448725326473308,0.02517273526341693,G0,Tipica
