EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,log(LNE),log(Densidad_LNE),Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,CP8,TCE_municipal,Atipicidad
8,CHIHUAHUA,35,JANOS,9,8.969923491991516,0.546917693944366,0.9806979015287576,0.07682826622843057,0.025142343056582483,0.029985006278944626,0.9857082785295149,1.4925547224243372,-0.3814106029336069,2.340840880059754,-0.680256404681952,-0.16013556836288753,-0.9359020419989722,0.07550316815901484,-0.049579624660017516,G0,Tipica
8,CHIHUAHUA,36,JIMENEZ,8,10.305714088793774,5.195906197627349,0.9855764105933889,0.06185859877135045,0.01675862357700749,0.019067298806402132,0.969171436066798,-0.20539741620124785,0.7628924956373414,0.1562603130742828,-0.3503395391298171,0.5145453474989937,-0.5240076404717804,-0.03847465540010856,0.07393652341297187,G1,Tipica
8,CHIHUAHUA,38,JULIMES,4,8.46674164792014,1.4766936904516117,0.9840048318899184,0.06496415770609319,0.01757929174834452,0.02072435926196016,0.9259914725467758,0.07927180336757071,-0.5661342152064877,1.7224038655121192,-1.2026857575006555,-0.007636170170814381,-0.7794098499994715,-0.15586599179162838,0.0037048250592601147,G1,Tipica
8,CHIHUAHUA,39,LOPEZ,6,8.128880142125638,1.6324567653624074,0.9837170513245932,0.056057303020865784,0.0201807288431752,0.021919015222543442,0.9337638810999541,0.2190051217803387,-0.6924259164129449,1.7642529998578511,-1.0200160534814242,-0.13992361607690598,-0.504964899396939,0.1253753465956952,0.12166798767659782,G1,Tipica
8,CHIHUAHUA,40,MADERA,13,9.93042155377621,1.4560263162546334,0.9785004169436342,0.03511511914957932,0.014249548204941141,0.01676069715057938,0.94307066687094,-0.4715743488960237,-0.014299088504893281,2.327607167051118,-0.2441365159660466,1.0253807450289765,-1.079813890594534,0.4481239192360903,0.016040796645399633,G3,Tipica
8,CHIHUAHUA,41,MAGUARICHI,4,7.072421900537371,0.5393376364337559,0.952501200540676,0.12607449856733524,0.05019565378122036,0.05535259159671917,0.8925341268776819,6.562292409755181,-3.4923105892987527,3.064541300134209,1.3716094992241508,1.7473870935758675,-0.766384320433678,0.19169614120681894,0.10426185291453682,G0,Atípica en ICE principal
8,CHIHUAHUA,54,RIVA PALACIO,9,8.892473968347087,3.1359541648862397,0.9805819251163278,0.08385463211200476,0.02550065389715829,0.030023965325747637,0.9886175374379356,1.5847933004457355,-0.2135110656443894,1.2409927040411577,-0.3934258188308003,0.20842648582668047,-0.333896810695861,-0.025039995825103863,-0.025903980650135883,G0,Tipica
9,CIUDAD DE MEXICO,6,IZTACALCO,0,12.776893987511828,9.912316583266556,0.9881639569045091,0.04441224811371141,0.01467879570784666,0.01740685746827016,0.9864572048957247,-0.8168062225112573,1.8364975456811377,-2.433712571213128,0.4865027528893136,1.0079677650292171,-0.9772012015942372,0.2883205115986707,0.05124167257770782,G1,Tipica
9,CIUDAD DE MEXICO,7,IZTAPALAPA,0,14.196491698380873,9.754433663211534,0.9883735921545502,0.046249649753826984,0.01505735324322176,0.01778278714809733,0.9882674710305094,-0.7635778072682134,2.411382091627765,-2.4682482933405696,0.7972057360074563,1.0241705965362242,-1.6146464198717905,0.24087385190751096,0.0727066694270973,G1,Tipica
9,CIUDAD DE MEXICO,9,MILPA ALTA,0,11.583132266013127,7.847591842833926,0.9891024226863724,0.060114635833580385,0.01899542209153661,0.022838008281828942,0.9876001605322712,-0.04204214280583395,1.29500825495523,-1.5842312479634613,-0.01290388544194473,0.2307240501890005,-0.8587156545586985,0.10852939504866656,0.00131819406071805,G1,Tipica
9,CIUDAD DE MEXICO,16,MIGUEL HIDALGO,0,12.67028767813086,9.083998697342508,0.9874127256943864,0.048508077539102405,0.015746503878429675,0.01859406480722368,0.9933538502655891,-0.5675584478416091,1.7098619858370196,-2.0601294916836794,0.3938465686212802,0.9334581843189248,-1.111792235226887,0.2660126020077991,0.05314398251989498,G1,Tipica
9,CIUDAD DE MEXICO,12,TLALPAN,1,13.203048955315582,8.661322217369863,0.988243023307656,0.05701687669907835,0.01878894024879596,0.02245121725900121,0.9925590087293306,-0.08995200395929172,1.977484765167115,-1.9457668562852697,0.5673718072131351,0.5703292639251952,-1.3462642788942236,0.17416345576327694,0.027988417227591163,G1,Tipica
9,CIUDAD DE MEXICO,13,XOCHIMILCO,0,12.741729408876596,8.614022680328718,0.9887517802686714,0.05696946451549045,0.018693853450877047,0.02242031452432742,0.9908078679127732,-0.1202350481904991,1.7775542047572062,-1.9616788713916191,0.39011951967248215,0.4675266174360883,-1.2028980941036989,0.16740718496462886,0.01841441433121305,G1,Tipica
9,CIUDAD DE MEXICO,4,CUAJIMALPA DE MORELOS,0,12.003221797483727,8.432079556591662,0.988496394334574,0.05090396534745866,0.016609900339362584,0.020101321670366292,0.9928210654891304,-0.4402831143952789,1.4643905293558064,-1.7998812293838882,0.1283738303442825,0.5793668512130186,-0.9415105876453376,0.2382891715886677,0.007678722069740351,G1,Tipica
9,CIUDAD DE MEXICO,5,GUSTAVO A. MADERO,0,13.847421930546679,9.815874836552524,0.9883783744117296,0.0456672848277741,0.015089660799156825,0.017935494339908768,0.9902932652287078,-0.7560900042846046,2.2761217019873734,-2.4736962350354808,0.7249082390953244,1.0038886640633666,-1.4512860646557555,0.2673647170373714,0.059752803895500035,G1,Tipica
9,CIUDAD DE MEXICO,8,LA MAGDALENA CONTRERAS,0,12.194647627860705,9.26421972201659,0.9888895628130984,0.05451558883449063,0.01804579225175048,0.021620285245055347,0.9883292840921843,-0.25431504115128545,1.604337793319614,-2.200231569612462,0.328584877767352,0.5439188037169443,-0.8308090423470819,0.20011807224517372,0.015570907952759902,G1,Tipica
9,CIUDAD DE MEXICO,10,ALVARO OBREGON,0,13.31479366834657,9.323628583698198,0.9868632537827758,0.049518700465282194,0.016567079765029958,0.019758561124615697,0.9883665905543874,-0.4209684455683908,1.9259340830891205,-2.1911753881655027,0.6688796477414931,1.0028020268696605,-1.3455162309428323,0.2673595440483157,0.04091707881428686,G1,Tipica
9,CIUDAD DE MEXICO,11,TLAHUAC,0,12.60246337236263,8.6582777199516,0.9884936257003905,0.052160310314561566,0.016351976171077216,0.019387167452071842,0.9912527128408044,-0.4905843009541368,1.7284965500960805,-1.9285779293609373,0.27358401640557123,0.6846443448507721,-1.1496827841635928,0.1852173973559633,0.046466324133908256,G1,Tipica
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,0,12.837950621574885,9.600471473739509,0.9888632983812908,0.043955525587770924,0.014723414125392997,0.017456187037953142,0.9897608279829948,-0.8455440454754066,1.8882853217909268,-2.3332473301688577,0.4189264895854911,0.8729296702616333,-1.0583346627618682,0.2917510635529453,0.05341673508907697,G1,Tipica
9,CIUDAD DE MEXICO,14,BENITO JUAREZ,0,12.811860206652945,9.89641760743291,0.986668776008158,0.043566025219438725,0.0151340605529799,0.01795114490082508,0.9846778427629664,-0.6911715855262763,1.7377820907272423,-2.3736602037547825,0.6104511795590843,1.1694715569223095,-1.0221542109776445,0.3437967977541381,0.046981573151325534,G1,Tipica
9,CIUDAD DE MEXICO,17,VENUSTIANO CARRANZA,0,12.89463181725527,9.677664350023738,0.9878258862174394,0.04273940746211199,0.014191204093793909,0.016751103780681724,0.9861788533257432,-0.8872778710477349,1.8467154415645728,-2.320009985818371,0.4854805529028857,1.0664488730845314,-1.0878442930905319,0.3048340431101079,0.060536627584552576,G1,Tipica
9,CIUDAD DE MEXICO,3,COYOACAN,0,13.227692292562864,9.51403697939681,0.987452532908744,0.04132200422498514,0.013951629999840984,0.016622808166453458,0.9845749964791416,-0.9107888410150434,1.93752196069892,-2.252798681204664,0.5695135285850583,1.1228396623947958,-1.276145398327911,0.3234352318860431,0.05340503176943735,G1,Tipica
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,0,13.076206343502642,9.931713845513258,0.9868572586715376,0.04359325205135715,0.014350810089816516,0.01697631684563601,0.987782226712026,-0.8045369372815578,1.8782953450266289,-2.4031804896446864,0.6141375554416302,1.2342692466403102,-1.1256458344332894,0.31495377667729085,0.0581654873659919,G1,Tipica
10,DURANGO,34,SUCHIL,7,8.561592778712923,1.669813671027082,0.9801071019709072,-0.007406000759589822,0.02266257338342845,0.026805596741152782,0.5224752503495029,-0.5460586767548944,-1.9106386111190332,1.938961452666256,1.1509499662017892,-0.5984231459125721,-0.918632180876932,0.5125445974835086,-0.09853829045787776,G2,Tipica
10,DURANGO,5,DURANGO,54,13.073038670392325,4.7765934889001285,0.9910863774765404,-0.007103502516997293,0.011327159765310485,0.013343736631390045,0.4699386682732857,-2.9328797261206767,2.9269195179322005,2.1422600364770594,3.152649520147801,-0.4411067616693407,0.4421213643457291,-0.3662295974938434,-0.03285546252336654,G3,Tipica
10,DURANGO,36,TEPEHUANES,22,9.179984251961283,0.7918862317799374,0.977098981100412,-0.007062436028659161,0.02617503863310721,0.031236986119442808,0.5391520833458182,0.07017184486719455,-1.2958113255116723,3.02396650297704,2.0074197692997826,-0.5149410112514633,-0.619403809550471,0.6933762185358266,-0.14537443619273624,G2,Atípica en tercer ICE
10,DURANGO,15,NAZAS,10,9.147187556970914,7.713684185093701,0.9877394821043104,-0.005719127303537386,0.013544684474425169,0.015499382222347646,0.3636616877713356,-2.4716115616006555,-0.8006413102914375,-0.724068921589239,1.6919426769584127,-0.2006413537910164,0.354282764558694,-0.3824207654111058,-0.027716320714318832,G2,Tipica
10,DURANGO,3,CONETO DE COMONFORT,8,8.101071503119543,1.7313309939045325,0.9849821657658624,-0.0242603550295858,0.025241691179670414,0.030039484999444893,0.5663772012697488,-0.6082485619038095,-1.7944828728923001,1.7689534962755211,1.0008742515742222,-1.5223819216183054,-0.5785810149794588,1.0003509420138177,-0.1293009261593241,G2,Tipica
10,DURANGO,35,TAMAZULA,28,9.67733949220162,1.3624447014744092,0.968309416627362,0.003144258583825934,0.021370301867816903,0.024764702739914355,0.3331968751935517,-0.3349821481255935,-1.607371290053096,3.4368278728705755,3.0467773162735217,1.0441337582977492,-0.6018689440965229,-0.12315284232032235,-0.08774969332458321,G2,Atípica en tercer ICE
