EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,log(LNE),log(Densidad_LNE),Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,TCE_municipal,Atipicidad
21,PUEBLA,188,TOCHIMILCO,7,9.444621667700849,6.624596475634429,0.9910601088654744,-0.022579647386328488,0.021418926592040945,0.02556746891170992,0.6244769327515837,-1.9835098549934091,0.09857140111349676,-0.4526956148091823,0.6829762860858974,-0.9259500388831348,-0.04043724436054396,0.9786622882782701,G0,Tipica
21,PUEBLA,43,CUAYUCA DE ANDRADE,3,7.920446505142607,5.976448271633569,0.9832848171203364,0.005845816587504567,0.01771421901385482,0.02084302781466562,0.3701692075590403,-1.9882346447851058,-1.5710275603725328,0.010391555397422848,1.0956919552055673,-0.3437771850952633,0.08556433172947184,-0.32057152764684416,G0,Tipica
21,PUEBLA,75,HUEHUETLAN EL GRANDE,3,8.486940148245216,6.083394929493482,0.987236946479732,-0.024140012070006038,0.036587254230556435,0.042660750902122964,0.5687575514646497,-1.0214508132942377,-1.2567628913378983,-0.3276636726231096,1.26650289509633,-1.8278494828014704,-0.016882333003086027,1.6123779295603955,G0,Tipica
21,PUEBLA,206,ZACAPALA,2,8.076515327552329,6.475756440133224,0.98862920734543,-0.030430852666465807,0.027822315886687318,0.03297582071204056,0.6407315768707742,-1.627724531834753,-1.0192244720413135,-0.5122205926345514,0.6290614122019961,-1.1426567149038382,0.2173024078540292,1.509074465446044,G0,Tipica
21,PUEBLA,48,CHIAUTLA,9,9.697754062731514,5.805241402603692,0.9856168105341118,-0.009671532846715328,0.018755003547443624,0.02196074188135417,0.4280198641551404,-2.0576608749144523,-0.3922893812578113,0.21151942001203572,1.4389375578640218,-0.5572982939718294,-0.3627481509918406,0.1413143388787352,G0,Tipica
21,PUEBLA,156,TEHUITZINGO,5,9.145161645951188,6.3426100856276095,0.986429275369998,-0.02233121152040071,0.026256272764000645,0.03134342168559339,0.5630209584962949,-1.5847762115160258,-0.6990039108512761,-0.2700810428201095,1.232162215802916,-0.924990950959139,-0.16656366059379882,1.0816914356068086,G0,Tipica
21,PUEBLA,54,CHIGNAHUAPAN,17,10.708511471981696,6.991396310846327,0.9872248614544126,0.0020383478182958515,0.018802965071417974,0.01990779826267134,0.3538067539350509,-2.056415989150977,0.4942747904637531,-0.016766486265889464,2.1029304074834263,-0.7763950904126953,-0.10221791054521216,-0.30603637611142825,G0,Tipica
21,PUEBLA,212,ZAUTLA,9,9.550377674761892,5.174010760230996,0.9823565951965187,0.008614501076812634,0.014257232931364803,0.0144226901722367,0.35222166302242985,-2.033760343742001,-0.7228402971706414,0.6134591006268002,1.50876078524065,-0.061783803939642924,-0.4952005361687835,-0.6009647338236285,G0,Tipica
21,PUEBLA,192,TUZAMAPAN DE GALEANA,2,8.408939605975984,7.946585149074475,0.983680592560218,0.024663165106188628,0.013957208263183965,0.014861858804121076,0.14932278101129445,-2.4484932046956165,-1.4263198945742694,-0.8536925562244978,1.7808239399915575,-0.3322780122521615,0.19838705692592126,-1.415878214711811,G0,Tipica
21,PUEBLA,199,XIUTETELCO,6,10.214971597173399,6.948499473843241,0.9850205176635072,0.016300100480071453,0.01556046422448786,0.016746121226673,0.3825832147099457,-1.9073421091893,-0.22012636126620225,-0.4309833134142795,1.5986343066669588,-0.2360751866127189,-0.4900510130054265,-0.636269255922567,G0,Tipica
21,PUEBLA,205,YEHUALTEPEC,2,9.733114329258015,6.82759492318155,0.9882322205010584,0.008550585984214303,0.01703325042469633,0.018181838802527845,0.4222058478532614,-2.0557148088197703,-0.339589184534536,-0.6665610936903489,1.0536742582340963,-0.6370685488023863,-0.463376831490489,-0.3239947047411049,G0,Tipica
21,PUEBLA,17,ATEMPAN,7,9.835262243540562,6.829817253202974,0.9904640965672408,0.014224442152125524,0.014744762189383618,0.014474946552792231,0.2619528296786623,-2.558750302625049,-0.06502435450354951,-0.4688254709939137,1.2843589726539653,-1.0091132758573818,-0.25816731071791416,-0.9603057710514304,G0,Tipica
