EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,TCE_municipal
20,OAXACA,55,MARISCALA DE JUAREZ,-0.646568172041127,-0.8731999609790091,0.05754579781868874,-0.004064702801157717,1.326136735209857,0.3261359252574106,0.2345952738553219,-0.04162421164027152,G1
20,OAXACA,310,SAN PEDRO JICAYAN,0.16124436920745114,-0.2197274457648551,-0.5320826460840011,-0.6566136527613308,0.2833923609372984,0.33412360944127506,0.09746243668527066,0.02688360368862569,G1
20,OAXACA,260,SAN MIGUEL AMATITLAN,-2.0183089295148804,-0.3233116127665142,-0.7719453120814083,-0.495623155270125,0.6819622880971121,0.20143643290769545,0.4410716024263421,0.0210968435284882,G1
20,OAXACA,190,SAN JUAN COLORADO,-0.3056232921163908,-0.5583729345698434,-0.1479452094319614,-0.4764447326849796,0.7456929250598238,0.41059851092205,0.08951331247118853,-0.03303504638407685,G1
20,OAXACA,19,COICOYAN DE LAS FLORES,0.2893494780787876,-0.6013665728921864,-0.1107102027521256,-0.2839668910394906,0.7968020254438649,0.3746971490021781,0.08128006357365243,-0.06440436487976202,G1
20,OAXACA,214,SAN JUAN QUIOTEPEC,-1.3658164286788277,-0.41248682129237785,-0.4150646049651698,-0.9208003220698406,0.059952662876669664,0.3993905322775519,0.3803253530494953,-0.010029036009867608,G1
20,OAXACA,337,SAN PEDRO YOLOX,-1.3735680892149944,-0.5836997241143024,-0.16680433060684507,-0.7023417852178278,-0.1077582230966692,0.4148689870315739,-0.18019079490309284,-0.015231459507763969,G1
20,OAXACA,236,SAN MARCIAL OZOLOTEPEC,0.8227212398495475,-0.31470990214323724,0.3046629377569724,-0.5396837111038323,0.22674506323480406,0.04746813079387782,0.2724350666651011,-0.08456369552641069,G1
20,OAXACA,355,SANTA ANA CUAUHTEMOC,-1.8112610497795607,-0.6811290284960397,0.19994841958987766,-0.5719182472195612,1.218248977432744,0.2662346543393956,0.25041098387047195,0.028311896098451306,G1
20,OAXACA,110,SAN BALTAZAR LOXICHA,1.6503417450009237,-0.6334286479296131,0.5239175635220991,-0.14292682735033801,0.8877639307790249,0.19349281492409007,0.053352175699253726,-0.08436961538020178,G2
20,OAXACA,327,SAN PEDRO TEOZACOALCO,-1.1115331803291597,-1.7384383674906771,1.5778856868529805,0.8624436931587581,0.603540262943616,0.2519262359662928,-0.8566049868671881,0.022909470646662555,G0
20,OAXACA,134,SAN FRANCISCO CAHUACUA,1.096057543123193,-0.8483031806836017,0.2890696714520699,0.04069906915330223,0.7449355149303628,0.3303011958135857,0.17702412630938447,6.919552324544085e-05,G2
20,OAXACA,210,SAN JUAN ÐUMI,-1.8644859524061168,-0.8294528673812761,0.04966009059142547,-0.1476745736548158,0.0936355114979362,0.3080370648986278,-0.19614239253070476,-0.041824447432162695,G0
20,OAXACA,515,SANTO DOMINGO TEHUANTEPEC,-1.1831950802360045,0.11990336978502585,-0.7315157539286782,-0.6402071243812923,0.3465191500577257,0.5118336572538923,0.28405816018887164,0.07133370392969543,G1
20,OAXACA,561,VILLA DIAZ ORDAZ,0.26144117970902675,-0.0396733311394282,-0.6484882041862758,-1.1526091536809728,-0.5281924841226133,0.42152049468589453,-0.0382193685049894,0.05564205385538485,G1
20,OAXACA,105,SAN ANTONIO HUITEPEC,-3.6321441013936746,-1.9062174757771264,1.3742773138622901,1.0288332307263175,-0.8719402358467383,0.2466105384634172,-1.6372686315798484,0.15376488373443442,G0
20,OAXACA,334,SAN PEDRO Y SAN PABLO TEPOSCOLULA,-0.06035983030548817,-0.5761932568775232,-0.1308265358844979,-0.3451421774150887,0.44854475135452576,0.3025967424192253,0.3320109598452302,-0.009087007384436852,G1
20,OAXACA,296,SAN PABLO VILLA DE MITLA,1.070559992168749,-0.2910240920106375,-0.22428641750029954,-0.4800781748769611,-0.7421990601987281,0.3225547222527824,-0.30034228428004617,0.2132511911559222,G2
20,OAXACA,7,ASUNCION NOCHIXTLAN,1.0142190960173445,-0.5432569815400348,-0.06830395794999032,-0.08939374019220367,0.7453805408710841,0.3637012427281781,0.1274770001630232,-0.046738218263296036,G2
20,OAXACA,550,TLACOLULA DE MATAMOROS,0.009083835517630515,0.08977167695937137,-0.37369543972742536,-0.9231340454234374,0.0066322342179897026,0.2743890547103714,0.0776571484741827,-0.008092179953789129,G1
20,OAXACA,28,HEROICA CIUDAD DE EJUTLA DE CRESPO,-0.5721244502852945,0.16931566666431672,-1.2474424986671109,-0.2935809917958821,-0.09974354101526628,0.04273502819391582,0.12387480948241104,-0.012925949312848729,G1
20,OAXACA,537,SOLEDAD ETLA,1.650739128546029,-0.2805591759518557,0.4374916151612688,-0.32679590124735697,-0.004204878606360879,0.011327289703219834,-0.28759524188470825,0.023953664449013343,G2
20,OAXACA,570,ZIMATLAN DE ALVAREZ,0.1812833831933948,-0.11409787997534493,-0.6808799534929098,-0.4505003772563139,0.1418121606322947,0.2773388744229738,0.14673380178521234,0.04600051812801567,G1
20,OAXACA,468,SANTIAGO JAMILTEPEC,0.6213691523966846,-0.26534341503869263,-0.5046572655268579,-0.2382170281420861,0.22839582688036875,0.27378989430634426,0.03831285458867842,0.007822593988316294,G1
20,OAXACA,174,SAN JUAN BAUTISTA COIXTLAHUACA,-1.6961287342214189,-1.1829678695670522,0.599470055354049,0.1531102847826582,-0.5284139626343335,0.31661080692543864,-0.5767212488617339,-0.0007369226676061511,G0
20,OAXACA,411,SANTA MARIA ECATEPEC,1.188135813887753,-2.0386678023227573,1.725873165275792,1.6866678356139877,1.2435463071461144,0.19965799095181355,0.1332445622690419,-0.09254598795005252,G2
20,OAXACA,484,SANTIAGO PINOTEPA NACIONAL,-0.04180389847926783,0.21266935809370566,-0.9011804035439096,-0.4689069578683014,-0.16570901472357846,0.3365540873383856,0.03380376098182528,0.050235686604134216,G1
20,OAXACA,511,SANTO DOMINGO NUXAA,-0.3926170115083815,-1.3838947665528332,1.0792838739079924,0.6046457032639461,-1.618259208109034,0.28182945023973066,-1.5139136777107176,-0.11613931800420985,G0
20,OAXACA,217,SAN JUAN TAMAZOLA,-1.835903685856387,-0.3518841158405126,-0.5801432512021995,-0.8881554089953976,0.10283310755901848,0.3580046288407196,0.24285410248744216,0.012173135263209234,G1
20,OAXACA,429,SANTA MARIA QUIEGOLANI,1.7429167960329843,-3.908713613744868,4.977690887181909,4.318429598046344,3.5541376625438224,-0.2233266006472064,-0.913388665484994,0.3968290028105117,G2
