EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7,TCE_municipal
6,COLIMA,5,VILLA DE ALVAREZ,0.6505946324943779,1.3679727924603915,-1.5958121436126491,0.38238502911887257,0.14886038718124786,-0.5092429315110321,-0.00839640227242083,G3
6,COLIMA,8,MANZANILLO,0.7428858659086055,1.5854456183535797,-1.1183657464932328,0.6247526388815808,0.21361941531272646,-0.51256122829673,0.025006557849465108,G3
6,COLIMA,1,COLIMA,0.7026432394424533,1.4420625875310074,-1.34048566967674,0.5056214045859211,0.2486843045489589,-0.5712570205872743,-0.02044068004874589,G3
6,COLIMA,3,COQUIMATLAN,0.9040615754492152,0.2991895953687525,0.023901005545122443,-0.4260394758625236,-0.12634939212944052,-0.34811735526014065,-0.09769365137938947,G3
7,CHIAPAS,78,SAN FERNANDO,1.6420470974601682,0.4721294419274554,-0.4637743747213701,0.3409738969027265,-0.2625544066016475,-0.10294655389360348,-0.4661228893084219,G3
7,CHIAPAS,100,TUMBALA,-0.7490167837977809,1.0682917229216409,-0.5114380274801804,-0.01103624024751923,0.5920886764741544,0.129069109547905,-0.09910626963972556,G3
7,CHIAPAS,102,TUXTLA GUTIERREZ,-0.08135578550003059,1.9981625241616217,-1.6526168675617114,0.2795687884116223,0.3812897670342306,-1.4593958143459915,0.13567028322177038,G3
7,CHIAPAS,103,TUZANTAN,-1.1461709043456736,1.425230089547169,-0.2898204546174568,-0.21524220777799055,0.6064226590606244,0.37437019604703947,0.10587898788547673,G3
7,CHIAPAS,107,VILLACOMALTITLAN,-0.5436315207581014,0.9581333169648156,0.3845967795545833,-0.429030963130247,0.5926822639752531,-0.2006733058799843,0.19870372138328965,G3
7,CHIAPAS,25,CHAPULTENANGO,-0.2561962990490749,-0.5445106822938323,0.7794854132847647,-0.9544525218263492,0.560112508442549,-0.5117126843385661,0.27669621307634057,G3
7,CHIAPAS,7,AMATENANGO DEL VALLE,-0.5732204190002582,0.08590659656692515,0.22904727369814454,-1.2871581160842984,0.1918935032733351,-0.35366593220068665,0.18139665304407154,G3
7,CHIAPAS,43,IXTACOMITAN,-0.7389971254435221,0.1223207368024961,0.2825757509721515,-0.9774735953518892,0.5299783902363251,-0.2829698692792316,0.2757647553144052,G3
7,CHIAPAS,44,IXTAPA,-1.8104857153034577,-0.4407721397256695,-0.015704023419251662,1.4461435619749698,0.4197572647528919,-0.43238263600310095,-0.7920626390498103,G0
7,CHIAPAS,45,IXTAPANGAJOYA,1.5152447004744385,-1.8291167865456728,-1.361255529842782,2.0824080500458626,1.1608292502625857,0.5382774347496349,0.4867998504938919,G2
7,CHIAPAS,46,JIQUIPILAS,-1.1210454083061352,1.240178477191278,0.11883201736379988,-0.015874106377924517,1.2284701649597365,-0.07104402876409997,0.2781974643151189,G3
7,CHIAPAS,48,JUAREZ,0.2309435372081883,0.2960115746174382,0.5850660147829585,-0.19399756986956554,0.3668917337732343,-0.3245913274882606,-0.11344918736682025,G3
7,CHIAPAS,50,LA LIBERTAD,-3.0128425652389006,-0.546756590382248,0.960813484080316,-0.6584385866853331,-0.5058550892805385,-0.5910339272515555,-0.8084315350420341,G0
7,CHIAPAS,53,MAZAPA DE MADERO,-1.0705497121877008,0.0914600754983284,0.3338238573478457,-1.1204588937791906,0.5001459045859695,-0.20417445855918864,0.2569743295267387,G3
7,CHIAPAS,29,CHICOASEN,-0.09935437988564792,-1.3225282769350168,0.6172969568176154,0.06245018358206737,1.035493946423154,-0.4421404430835015,-0.05658814488364783,G3
7,CHIAPAS,30,CHICOMUSELO,0.5380685922026761,0.8484397430708379,-0.19967835291077052,0.21311960626141094,0.24942474163465364,0.11787318795262687,0.0665249836262232,G3
7,CHIAPAS,33,FRANCISCO LEON,-0.7054832969806454,-1.1198570308216207,-0.9446835530240206,1.163807404569424,0.15500856680671202,0.34046317480998217,0.43335330123757215,G0
7,CHIAPAS,34,FRONTERA COMALAPA,0.3192146291278543,0.9799771704831888,0.5236139738149546,1.071034301724342,1.2897858732195917,-0.026770812162305663,0.13280653106425558,G1
7,CHIAPAS,13,BOCHIL,-0.5925067825651714,0.5860451539727433,0.18489550562869175,-0.3016341524607261,0.4487509361019288,-0.5373601530959214,-0.0722141712405333,G3
7,CHIAPAS,5,AMATAN,1.3123268971923978,-1.0599967341820098,0.9345304690260318,1.3319263860365878,1.042294774826737,-0.5555640067141489,-0.08890233027726538,G2
7,CHIAPAS,6,AMATENANGO DE LA FRONTERA,0.3967149307174999,0.4359591318771241,-0.00012275076786384754,0.2436158662694067,0.40919276702177004,-0.16695795260103116,0.027164877509839938,G3
7,CHIAPAS,56,MITONTIC,-0.07924397161352204,0.012566866538085987,-0.11129620315953508,-0.6260553323207185,0.5675570491919001,-0.0864986052181329,-0.03340292338258813,G3
7,CHIAPAS,39,HUIXTAN,0.05809497859191413,0.9358769223120204,-0.11459081255488905,-0.7994367352377432,-0.3934508727543424,-0.0488856608547503,0.11219521265953604,G3
7,CHIAPAS,41,LA INDEPENDENCIA,-0.875469888690866,1.497633428402534,-0.2500322183146429,-0.8554123710242677,0.17335740594545265,-0.2830368565013622,0.17670739236967076,G3
7,CHIAPAS,42,IXHUATAN,-0.4558581743635939,0.09017299880040734,-1.4552454652147897,-0.04800214476160768,0.9696850040129766,0.4751958728274151,0.2068071040469971,G3
7,CHIAPAS,59,OCOSINGO,1.675780229733459,2.098500129437326,2.320006964650687,1.896516553632372,0.3625390743481279,0.4177963488537138,0.02358889112191652,G1
7,CHIAPAS,115,MARQUES DE COMILLAS,-1.21426487479488,0.04528365811960031,-0.5520275473805915,-0.06846476885572972,1.6510348978107368,0.2381217895661104,0.3592275161550937,G3
7,CHIAPAS,106,VENUSTIANO CARRANZA,-0.2275340766922441,0.8225361092084162,-0.8098437787261223,0.9391024063258469,1.507795072344749,-0.06971552922422036,0.22672817002975995,G3
7,CHIAPAS,109,VILLAFLORES,-0.19972968225802434,1.5024769247989065,0.41718368053223226,0.5279627238055332,0.8699861632308841,-0.3390592404091335,0.1897358208804624,G1
7,CHIAPAS,110,YAJALON,0.22232559776685065,0.6784748910564246,0.10018730149604713,-0.28108933972638195,0.1740247692808859,-0.4537345570422706,0.17262323610208752,G3
7,CHIAPAS,111,ZINACANTAN,-0.9359646012261325,1.2866707421074088,-0.2412813952562687,-0.3085515992422725,0.2861173010453233,-0.11887700441128295,0.12490548879953695,G3
7,CHIAPAS,99,LA TRINITARIA,-0.03437841515806733,1.2847223601782805,1.3489513850640922,1.1256290839777845,1.4935206051021217,0.02640189250929393,0.32893252833968073,G1
7,CHIAPAS,93,TECPATAN,0.4076458988752023,1.0055472128253942,1.3023568876634104,0.05411272981261167,0.4046227756846032,-0.2118947724617176,0.11655530814673395,G1
7,CHIAPAS,87,SUCHIAPA,0.4187060605562298,0.33119029929026644,-1.4880222239643397,-0.0533851459805188,0.27706668483488883,-0.06985195113517452,0.15378272624723424,G3
7,CHIAPAS,75,SABANILLA,-0.6220721348451418,0.7689590617440251,0.0836921894520093,-0.4338924368437381,0.5455238700305083,-0.2141486438318896,0.190413266062156,G3
7,CHIAPAS,77,SAN CRISTOBAL DE LAS CASAS,-0.030310654759971183,2.1091242663528127,-0.606645744776943,0.07778122433077816,-0.06342201158838208,-0.465185531608957,0.07355662062745487,G3
7,CHIAPAS,57,MOTOZINTLA,0.06947039476432901,1.3942073871746956,0.6870215425723548,0.06835084264341354,0.14415352920360158,-0.27863599519303983,0.08797110881120188,G1
7,CHIAPAS,118,SANTIAGO EL PINAR,-0.3986649317494999,-0.15732747726952784,-1.5375338070816629,-0.6312051939496127,0.7114552661423234,0.9152030487871732,0.07418827110999895,G3
7,CHIAPAS,1,ACACOYAGUA,0.09095507367760346,-0.15987872817837026,0.22311970164063016,-0.3389356272280962,0.7633732665488167,-0.5519424231289727,0.05349259894525001,G3
7,CHIAPAS,3,ACAPETAHUA,-0.13582603785720135,0.5189817973942318,0.1989073827508116,-0.2574498279207153,0.5800996951264451,-0.3884454325813566,0.10504924311266743,G3
7,CHIAPAS,10,BEJUCAL DE OCAMPO,-1.0744477557265817,-1.7884731734576818,0.4737777510425589,1.380955126170419,1.007181278476399,-0.4750753476683455,-0.6126893749012833,G0
7,CHIAPAS,11,BELLA VISTA,0.22883597048388024,0.3128345311282809,0.8020236948611006,-0.06175441988164501,0.3108384250157561,-0.15688957161236322,0.07406351618897064,G3
7,CHIAPAS,28,CHIAPILLA,-0.9825423234842544,-0.10326239208065384,-1.1766910441001095,-0.341723473842315,0.8976041861411136,0.4292773843884247,0.08992894712120793,G3
7,CHIAPAS,35,FRONTERA HIDALGO,-1.5362131553399552,0.7825355510075578,-1.2847713934684224,-0.6893090479163168,0.4272524984439512,0.29638475432946904,0.0005761191281817563,G3
7,CHIAPAS,36,LA GRANDEZA,0.6081495840073523,-0.6627613627380899,-1.5115868290125345,0.5838768496990302,0.8024833609945846,0.5764414880244761,0.1925070225509254,G3
7,CHIAPAS,54,MAZATAN,0.2419662840803381,0.8156645982806786,-0.6195492969491976,0.02064817072883628,0.4665270498989044,0.20472140885109466,-0.05755817211994525,G3
7,CHIAPAS,55,METAPA,-1.9173388113491299,0.11988858171637826,-0.33047873411416023,-1.169865371671208,0.17265915723542608,-0.02635610885580135,-0.2202366249367312,G0
7,CHIAPAS,58,NICOLAS RUIZ,-0.8990531968651782,-0.5001816460787782,-0.9951095113207162,-0.4061739728293603,1.091062243332425,0.4822043467905317,-0.023054797362543386,G3
7,CHIAPAS,60,OCOTEPEC,0.6836330015087957,-0.5288018427323438,-1.3959245444060142,0.6912115574424912,1.3316359154500657,0.31487185851275873,0.16979586951426448,G3
7,CHIAPAS,70,EL PORVENIR,-0.1508862076641719,0.15416764810935554,-0.03657352395729725,-0.6966139959250167,0.1817778556198432,-0.22926152818463624,0.303414111886947,G3
7,CHIAPAS,72,RAYON,0.6713059630096669,-0.9037774012648244,-1.245443615412403,0.9537788943376448,1.1474381305581502,0.3363996618056723,0.08399626062738698,G3
7,CHIAPAS,74,LAS ROSAS,0.4171253894375988,-0.16639609907320302,0.11612986080486527,0.04785927679797596,0.7192613546941629,-0.6830938426078643,0.2367970845563457,G3
7,CHIAPAS,86,SOYALO,-0.007781335166352472,-0.43386816721812943,-1.0574476404133886,0.4480767669043271,0.8879804030824325,0.2519745125863017,0.3656717624000368,G3
7,CHIAPAS,92,TAPILULA,-0.642842831495982,-0.07093797324768279,-0.2460810629319813,-0.5551311572371791,0.7514234503757671,-0.3319091088519784,0.21086350495618025,G3
7,CHIAPAS,105,UNION JUAREZ,-1.1061420422258936,0.7812579549789903,-0.8693513341005837,-0.6537173433947329,0.20489116909422264,0.16412188933830624,-0.13298672524345725,G3
7,CHIAPAS,51,MAPASTEPEC,0.2962839921990485,0.8762736990471985,-0.09722927694311502,0.36907751412578577,0.7847641468448789,-0.054064653803781976,-0.04834436818373869,G3
7,CHIAPAS,114,MARAVILLA TENEJAPA,-1.6599554380717416,0.6267785556065248,-1.0927075792791985,-0.3984044108415497,0.8263509947238216,0.4116073024504235,0.05503751898916631,G3
